structural_system,T1,T2,b0,b1,b2,b3,sigma,DL_DS2,DL_DS3,DL_DS4,DL_CS1,DL_CS2,DL_CS3,Median_PGA_chf,beta_chf
RC1L,0,0,-1.4362,1.1945,0,0,0.487819304,0.018288,0.0292608,0.073152,0.183,0.183,0.183,0,0
RC1M,0,0,-1.4344,0.9309,0,0,0.519249865,0.030861,0.049149,0.12573,0.305,0.305,0.305,0,0
RC1H,0,0,-1.4621,0.80123,0,0,0.638551143,0.043892,0.0702272,0.175568,0.439,0.439,0.439,0,0
RC2,0,0,-1.4673,0.89185,0,0,0.592250435,0.026,0.0416,0.104,0.218,0.218,0.218,0,0
PC2,0,0,-1.4647,0.85545,0,0,0.591946079,0.026,0.0416,0.104,0.218,0.218,0.218,0,0
RC3L,0,0,-1.2656,1.2711,0,0,0.477972518,0.036144,0.056475,0.123635232,0.123635232,0.123635232,0.226,0.5829,0.6888
RC3M,0,0,-1.3581,0.93174,0,0,0.499699258,0.04843296,0.0756765,0.180189766,0.180189766,0.180189766,0.302,0.5829,0.6888
RC3H,0,0,-1.2603,0.87875,0,0,0.648863798,0.072288,0.11295,0.27108,0.362385832,0.362385832,0.452,0,0
PC3L,0,0,-1.899432997,2.3379,0,0,0.5003106,0.005747,0.020525,0.0472075,0.071117612,0.071117612,0.13,0.5829,0.6888
PC3M,0,0,-1.471659529,1.9825,0,0,0.46449975,0.00770098,0.0275035,0.06325805,0.10322129,0.10322129,0.173,0.5829,0.6888
PC3H,0,0,-1.098455273,1.338745,0,0,0.332945882,0.011494,0.04105,0.094415,0.208452027,0.208452027,0.26,0,0
W1,0,0,-0.6693,2.7152,0,0,0.692703411,0.00928,0.02291,0.07105,0.23,0.23,0.23,0,0
W2,0,0,-1.4292,1.2708,0,0,0.469137476,0.0175584,0.0433473,0.1344315,0.329,0.329,0.329,0,0
W3,0,0,-2.3762,1.6944,0,0,0.518797878,0.0088,0.021725,0.067375,0.12,0.12,0.12,0.5829,0.6888
S1L,0,0,-1.0986,0.9527,0,0,0.610673936,0.0300912,0.0476444,0.1015578,0.47,0.47,0.47,0,0
S1M,0,0,-1.1723,0.84308,0,0,0.788856952,0.0401216,0.0639438,0.137918,0.628,0.628,0.628,0,0
S1H,0,0,-1.215,0.92864,0,0,0.813406624,0.0601824,0.0952888,0.200608,0.942,0.942,0.942,0,0
S2L,0,0,-1.4245,1.2735,0,0,0.469455196,0.021944,0.0351104,0.087776,0.219,0.219,0.219,0,0
S2M,0,0,-1.4108,0.86049,0,0,0.509086517,0.0370332,0.0589788,0.150876,0.366,0.366,0.366,0,0
S2H,0,0,-1.3463,0.77747,0,0,0.677543068,0.057048,0.0912768,0.228192,0.57,0.57,0.57,0,0
S3,0,0,-4.2905,1.0807,0,0,0.573552308,0.01216,0.01938,0.04864,0.295,0.295,0.295,0,0
URM1_F,0,0,-2.0498,2.3734,0,0,0.561470928,0.0041,0.0041,0.0041,0.0041,0.0103,0.019,0.4124,0.7804
URM1_O,0,0,-1.896228463,1.93195,0,0,0.9080165,0.0080078,0.0187412,0.021996073,0.040908916,0.070260524,0.1405,0.4124,0.7804
URM2L,0,0,-2.2151,1.4615,0,0,0.438479261,0.00679896,0.01640384,0.02720192,0.038,0.096,0.123,0.4124,0.7804
URM3L,0,0,-2.369938324,2.05615,0,0,0.467774125,0.00567063,0.010849817,0.010849817,0.010849817,0.041280457,0.074,0.5829,0.6888
URM3M_U,0,0,-2.125,1.5209,0,0,0.59297776,0.0079128,0.019,0.019,0.019,0.025,0.074,0.5829,0.6888
URM3M_D,0,0,-1.878,1.963,0,0,0.663320396,0.0056826,0.0137104,0.0453552,0.077,0.077,0.089,0.5829,0.6888
URM3M_B,0,0,-2.3185,2.0155,0,0,0.630324097,0.00976752,0.02356608,0.03878304,0.054,0.054,0.067,0.5829,0.6888
URM4L,0,0,-1.6625,1.2524,0,0,0.467728379,0.004725,0.0114,0.0252,0.039,0.094,0.109,0.5829,0.6888
URM5L,0,0,-4.1046,2.1586,0,0,0.737768415,0.003591,0.008664,0.009832,0.011,0.011,0.017,0.4124,0.7804
URM6L,0,0,-4.2032,2.4657,0,0,0.853977337,0.0034272,0.0082688,0.0301344,0.052,0.052,0.052,0.4124,0.7804
URM7L,0,0,-4.3854,2.3761,0,0,0.864186359,0.003465,0.008,0.008,0.008,0.032,0.056,0.5829,0.6888
URM8L,0,0,-3.6136,2.0366,0,0,0.688471788,0.002,0.002,0.002,0.002,0.002,0.02,0.4124,0.7804
URM9L,0,0,-1.8753,1.4905,0,0,0.447476882,0.008442,0.020368,0.030684,0.041,0.115,0.154,0.4124,0.7804
URM10,0,0,-4.2032,2.4657,0,0,0.853977337,0.0034272,0.0082688,0.0301344,0.052,0.052,0.052,0,0
